sample_id,gtseq_chr28_geno,pop_structure_id,cv_fall,cv_late_fall,cv_spring,cv_winter,tributary,butte_fall,fr_hfall,fr_hsp,mill_deer_fall,san_joaquin_fall,butte_sp,mill_deer_sp,coleman_lf,sac_win,reason_not_added
TIS22_7_C_7_b,LATE,FALL,1,0,0,0,NA,0.046,0.941,0.001,0.009,0.001,0,0,0.001,0,NONSTANDARD SAMPLE ID
TIS22_7_C_7_c,LATE,FALL,1,0,0,0,NA,0.025,0.961,0.006,0.006,0.001,0,0,0,0,NONSTANDARD SAMPLE ID
BTC23_11_B_1a,EARLY,SPRING,1,0,0,0,Feather River Spring,0.001,0.996,0,0.003,0,0,0,0,0,NONSTANDARD SAMPLE ID
BTC23_11_B_1b,EARLY,SPRING,0.96,0.04,0,0,Feather River Spring,0.001,0.788,0.048,0.003,0.116,0,0.002,0.042,0,NONSTANDARD SAMPLE ID
BUT23_11_A_7a,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
BUT23_11_A_7b,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
BUT23_11_A_7c,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
BUT23_11_A_8a,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
BUT23_11_A_8b,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
BUT23_5_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BUT23_7_A_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BUT23_8_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BUT23_8_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_12_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_14_A_2a,LATE,FALL,0.88,0.12,0,0,NA,0.001,0.729,0,0.153,0,0,0,0.116,0,NONSTANDARD SAMPLE ID
CLR23_14_A_2b,NA,FALL,1,0,0,0,NA,0.028,0.535,0.285,0.029,0.123,0,0,0.001,0,NONSTANDARD SAMPLE ID
CLR23_2_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_3_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_7_A_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_7_A_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR23_9_A_2a,LATE,FALL,1,0,0,0,NA,0,0.864,0.034,0.002,0.099,0,0,0,0,NONSTANDARD SAMPLE ID
CLR23_9_A_2b,LATE,FALL,1,0,0,0,NA,0,0.708,0.017,0.003,0.273,0,0,0,0,NONSTANDARD SAMPLE ID
CLR23_9_A_5,NA,SPRING,0.49,0,0.51,0,ButteSp,0.091,0.171,0.009,0.045,0.173,0.51,0.001,0,0,CASE 1
CLR23_9_A_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DEER_NON_EVENT,EARLY,SPRING,0.03,0,0.97,0,ButteSp,0,0.001,0.027,0,0,0.932,0.04,0,0,NONSTANDARD SAMPLE ID
DER23_13_Ext_1,HETEROZYGOTE,FALL,1,0,0,0,NA,0.06,0.77,0.021,0.094,0.055,0,0,0,0,NONSTANDARD SAMPLE ID
DER23_14_B_1,NA,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,CASE 1
DER23_14_C_2,NA,FALL,0.99,0.01,0,0,NA,0.003,0.718,0.149,0.055,0.062,0,0,0.013,0,CASE 1
DER23_14_C_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DER23_14_D_5a,LATE,FALL,0.99,0,0.01,0,NA,0.036,0.601,0.009,0.132,0.213,0,0.01,0,0,NONSTANDARD SAMPLE ID
DER23_14_D_5b,LATE,FALL,1,0,0,0,NA,0.003,0.776,0.015,0.194,0.011,0,0.001,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_1,EARLY,SPRING,0.05,0,0.95,0,MillDeerSp,0.044,0,0,0.001,0,0.066,0.889,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_10,EARLY,SPRING,0.94,0,0.06,0,Feather River Spring,0.002,0.149,0.787,0,0,0.001,0.061,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_11,EARLY,SPRING,0,0,1,0,ButteSp,0.001,0.004,0,0,0,0.995,0,0,0,NONSTANDARD SAMPLE ID
DER23_3_XTRA_12,EARLY,SPRING,0.49,0,0.51,0,ButteSp,0.489,0.003,0,0,0.001,0.507,0,0,0,NONSTANDARD SAMPLE ID
