location,sample_id,sample_type_id,assay_id,plate_run_id
N16,FTH_RM1722_7_A_17,1,2,
N17,FTH_RM1722_7_A_18,1,2,
N18,FTH_RM1722_7_A_19,1,2,
N20,FTH_RM1722_7_A_20,1,2,
N22,FTH_RM1722_7_A_21,1,2,
N23,FTH_RM1722_7_A_22,1,2,
N24,FTH_RM1722_7_A_23,1,2,
O1,FTH_RM1722_7_A_24,1,2,
O2,FTH_RM1722_7_A_25,1,2,
O3,FTH_RM1722_7_A_26,1,2,
O4,FTH_RM1722_7_A_27,1,2,
O5,FTH_RM1722_7_A_28,1,2,
O6,FTH_RM1722_7_A_29,1,2,
O8,FTH_RM1722_7_A_30,1,2,
O9,FTH_RM1722_7_B_31,1,2,
O10,FTH_RM1722_7_B_32,1,2,
O11,CONTROL,1,2,
O13,FTH_RM1722_7_B_34,1,2,
O14,FTH_RM1722_7_B_35,1,2,
O15,FTH_RM1722_7_B_36,1,2,
O16,FTH_RM1722_7_B_37,1,2,
O17,FTH_RM1722_7_B_38,1,2,
O18,FTH_RM1722_7_B_39,1,2,
O19,FTH_RM1722_7_B_40,1,2,
O20,FTH_RM1722_7_B_41,1,2,
O21,FTH_RM1722_7_B_42,1,2,
O22,FTH_RM1722_7_B_43,1,2,
O23,FTH_RM1722_7_B_44,1,2,
P1,FTH_RM1722_7_B_45,1,2,
P3,FTH_RM1722_7_B_46,1,2,
P4,FTH_RM1722_7_B_47,1,2,
P6,FTH_RM1722_7_B_48,1,2,
P7,FTH_RM1722_7_B_49,1,2,
P8,FTH_RM1722_7_B_50,1,2,
P9,FTH_RM1722_7_B_51,1,2,
P10,FTH_RM1722_7_B_52,1,2,
P13,FTH_RM1722_7_B_53,1,2,
P14,FTH_RM1722_7_B_54,1,2,
P15,FTH_RM1722_7_B_55,1,2,
P16,FTH_RM1722_7_B_56,1,2,
P18,FTH_RM1722_7_B_57,1,2,
P22,FTH_RM1722_7_B_58,1,2,
P23,FTH_RM1722_7_B_59,1,2,
P24,FTH_RM1722_7_B_60,1,2,
