SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
CLR25_7_A_26	HETEROZYGOTE	FALL	1	0	0	0		0.019	0.056	0.033	0.233	0.659	0	0	0	0
CLR25_7_A_27	HETEROZYGOTE	FALL	1	0	0	0		0	0.442	0	0.535	0.023	0	0	0	0
CLR25_7_A_29	HETEROZYGOTE	FALL	1	0	0	0		0.034	0.827	0.03	0.01	0.098	0	0	0	0
CLR25_7_A_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.002	0.454	0.001	0.478	0.066	0	0	0	0
CLR25_7_A_7	HETEROZYGOTE	FALL	1	0	0	0		0.022	0.977	0	0.001	0	0	0	0	0
CLR25_7_A_8	HETEROZYGOTE	FALL	1	0	0	0		0.008	0.989	0	0.003	0	0	0	0	0
CLR25_8_A_17	LATE	FALL	0.99	0.01	0	0		0.608	0.14	0	0.166	0.077	0	0	0.009	0
CLR25_8_A_2	HETEROZYGOTE	FALL	1	0	0	0		0.228	0.422	0.14	0.207	0.003	0	0	0	0
CLR25_8_A_20	HETEROZYGOTE	FALL	0.99	0.01	0	0		0.479	0.112	0	0.363	0.04	0	0	0.006	0
CLR25_8_A_24	HETEROZYGOTE	FALL	1	0	0	0		0	0.849	0	0.15	0	0	0	0	0
CLR25_8_A_27	HETEROZYGOTE	FALL	1	0	0	0		0.694	0.282	0.002	0.001	0.02	0	0	0	0
CLR25_8_A_8	HETEROZYGOTE	FALL	1	0	0	0		0.008	0.977	0	0.01	0.006	0	0	0	0
CLR25_8_A_9	HETEROZYGOTE	FALL	1	0	0	0		0.03	0.969	0	0	0	0	0	0	0
CLR25_8_X_2	HETEROZYGOTE	FALL	1	0	0	0		0.004	0.552	0.003	0.407	0.033	0	0	0.001	0
CLR25_8_X_3	HETEROZYGOTE	FALL	1	0	0	0		0.064	0.063	0.006	0.066	0.801	0	0	0.001	0
CLR25_9_A_18	HETEROZYGOTE	FALL	1	0	0	0		0.076	0.698	0.001	0.031	0.194	0	0	0	0
DEL25_1_X_1																
DEL25_10_B_2	HETEROZYGOTE	FALL	1	0	0	0		0.606	0.291	0	0.041	0.062	0	0	0	0
DEL25_10_B_6																
DEL25_10_C_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.93	0.046	0	0.024	0	0	0	0
DEL25_11_B_11	HETEROZYGOTE	FALL	0.99	0.01	0	0		0.063	0.015	0.001	0.652	0.259	0	0	0.009	0
DEL25_11_B_12	HETEROZYGOTE	FALL	1	0	0	0		0.121	0.627	0.019	0.018	0.214	0	0	0	0
DEL25_11_B_13	HETEROZYGOTE	FALL	1	0	0	0		0.002	0.991	0.001	0.004	0.003	0	0	0	0
DEL25_11_B_15	HETEROZYGOTE	FALL	1	0	0	0		0.798	0.105	0	0.001	0.096	0	0	0	0
DEL25_11_B_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.101	0.74	0.156	0.001	0	0.002	0	0
DEL25_11_B_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0.249	0.458	0.008	0.009	0.275	0	0	0	0
DEL25_11_B_5	HETEROZYGOTE	FALL	1	0	0	0		0.01	0.55	0.001	0.053	0.385	0	0	0	0
DEL25_11_B_8	HETEROZYGOTE	FALL	1	0	0	0		0	0.985	0.008	0	0.006	0	0	0	0
DEL25_11_C_10	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.684	0.316	0	0	0	0	0	0
DEL25_11_C_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0.025	0.475	0.489	0.01	0.001	0	0	0	0
DEL25_11_C_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.017	0.044	0.934	0.004	0	0	0	0	0
DEL25_11_C_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.799	0.201	0	0	0	0	0	0
DEL25_11_C_5	EARLY	SPRING	1	0	0	0	Feather River Spring	0.007	0.128	0.864	0	0	0	0	0	0
DEL25_11_C_6	EARLY	SPRING	1	0	0	0	Feather River Spring	0.001	0.229	0	0.763	0.006	0	0	0	0
DEL25_11_C_7	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.958	0.036	0.003	0.001	0	0.002	0	0
DEL25_11_C_8	EARLY	SPRING	1	0	0	0	Feather River Spring	0.006	0.823	0.164	0.003	0.004	0	0	0	0
